recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
request_to_join_p1_scrape_likely,417.3,baleaf,baleaf.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Sportswear,Clothing|Lingerie|Sportswear|Womenswear,17.56,0.44,17.2363,no,yes,US,https://www.baleaf.com,https://www.baleaf.com/products/golf-sleeveless-dress | https://www.baleaf.com/products/cozy-at-home-set | https://www.baleaf.com/products/everyday-travel-ready-set,no,no,no,no,home_ok,,97199,320.0
maybe_join_manual_review_probe,415.6,Ulla Popken - US,ullapopken.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;plus_curve;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Sportswear|Womenswear,100.00,0.03,52.3082,yes,no,US,https://www.ullapopken.com/en/,,no,no,no,no,http_403;http_403,,48293,380.0
request_to_join_p1_scrape_likely,395.0,Self-Adore (US),self-adore.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Womenswear,Clothing|Clothing Accessories|Department Stores|Lingerie|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://self-adore.com/,https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-bottom-black | https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-top-black | https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-bottom-pale-pink,no,no,no,no,home_ok,,121918,320.0
request_to_join_p1_scrape_likely,390.0,Feelingirl US,feelingirl.com,Yotpo,yes,yes,full_bust_lingerie;swim_shapewear;general_womenswear,Lingerie,Lingerie|Womenswear,0.00,0.00,0,no,no,US,https://feelingirl.com/,https://feelingirl.com/products/feelingirl-everyday-wireless-bra-unlined-soft-bra | https://feelingirl.com/products/feelingirl-silicone-nipple-covers | https://feelingirl.com/products/scoop-neck-buttery-seamless-everyday-bodysuit,no,no,no,no,home_ok,,125300,315.0
request_to_join_p1_scrape_likely,374.2,Sunshine Society (US),iamsunshinesociety.com,Loox;Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Lingerie|Womenswear,100.00,1.21,80.4546,yes,yes,US,https://www.iamsunshinesociety.com/,https://www.iamsunshinesociety.com/products/silky-daydreamer-set | https://www.iamsunshinesociety.com/products/kids-silky-daydreamer-short-sleeve-short-set | https://www.iamsunshinesociety.com/products/silky-daydreamer-pant-set,no,no,no,no,home_ok,,119467,230.0
maybe_join_manual_review_probe,356.6,Etam (US),us.etam.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Lingerie,Clothing|Clothing Accessories|Gifts & Flowers|Green (Eco friendly)|Lingerie|Sportswear|Womenswear,100.00,0.08,55.4018,yes,no,US,https://us.etam.com/,,no,no,no,no,http_200;products_json_invalid,,39234,320.0
request_to_join_p1_scrape_likely,351.8,Zeagoo,zeagoo.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Lingerie|Womenswear,100.00,0.09,52.4248,yes,yes,US,https://zeagoo.com,https://zeagoo.com/collections/mayes-picks/products/elegant-spring-print-lantern-sleeve-blouse-with-scarf | https://zeagoo.com/collections/mayes-picks/products/summer-casual-print-linen-blend-blouse-pants-set | https://zeagoo.com/collections/mayes-picks/products/floral-bow-detail-long-sleeve-maxi-dress,no,no,no,no,home_ok,,59047,230.0
skip_existing_or_refresh_only,349.8,PURTY BODY Affiliate Program,purtybody.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Lingerie|Womenswear,99.01,1.49,68.7026,no,no,US,https://purtybody.com/,https://purtybody.com/products/vitamin-g-string | https://purtybody.com/products/snatched-vag-g-string | https://purtybody.com/products/snatched-vag-high-rise-g-string,yes,yes,no,yes,home_ok,,119629,230.0
maybe_join_manual_review_probe,341.5,Make Me Surprise,makemesurprise.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Home & Garden,Clothing|DIY|Home & Garden|Lingerie|Sportswear|Womenswear,70.66,0.37,78.9584,no,no,US,https://www.makemesurprise.com/,,no,no,no,no,http_200;products_json_invalid,,121824,320.0
skip_existing_or_refresh_only,340.4,Company,shopbrabar.com,Loox,yes,yes,full_bust_lingerie;plus_curve;petite_tall;general_womenswear,Clothing,Clothing,100.00,0.02,0,no,yes,US,https://shopbrabar.com,https://shopbrabar.com/products/soft-day-bra-with-back-closure-bundle | https://shopbrabar.com/products/soft-push-up-bra-w-back-closure | https://shopbrabar.com/products/soft-day-bra-with-back-closure,yes,yes,no,yes,home_ok,,33473,235.0
request_to_join_p1_scrape_likely,337.0,Isme Swim US,ismeswim.com,Okendo;Loox;Yotpo,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Sportswear|Womenswear,93.06,0.67,63.5117,no,no,US,https://ismeswim.com/,https://ismeswim.com/products/light-house-brazilian-bottoms | https://ismeswim.com/products/light-house-boyshorts | https://ismeswim.com/products/light-house-triangle-top | https://ismeswim.com/products/oceana-boyshorts | https://ismeswim.com/products/oceana-high-cut-bottoms,no,no,no,no,http_200;products_json_8,,121338,230.0
maybe_join_manual_review_probe,336.8,HK FOUR IN ONE CO LIMITED,ododos.co,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Lingerie|Menswear|Sportswear|Womenswear,25.00,0.09,0,no,yes,US,https://www.ododos.co,https://ododos.co/products/3-pack-odstratum-men-performance-tank-5513 | https://ododos.co/products/odstratum-5-men-performance-shorts-adjustable-waist-secure-pockets-5211 | https://ododos.co/products/odstratum-30-men-adjustable-waist-joggers-secure-pockets-5217 | https://ododos.co/products/3-pack-odstratum-men-performance-t-shirt-5612 | https://ododos.co/products/lightweight-quilted-backpack-035a,no,no,no,no,http_200;products_json_6,,62385,320.0
skip_existing_or_refresh_only,335.5,EBY (US),shop.join-eby.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Lingerie|Womenswear,77.38,0.00,43.5102,yes,no,US,https://shop.join-eby.com/,https://shop.join-eby.com/products/mint-jelly-sheer-bralette | https://shop.join-eby.com/products/sugar-rush-sheer-bralette | https://shop.join-eby.com/products/berry-milkshake-sheer-bralette,yes,yes,no,yes,home_ok,,70897,230.0
maybe_join_manual_review_probe,335.0,Unique Kulture Affiliate Program,unique-kulture.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Lingerie|Menswear|Shoes|Sportswear|Womenswear,0.00,0.00,0,yes,no,US,https://www.unique-kulture.com,,no,no,no,no,http_402;http_402,,116351,320.0
request_to_join_p1_scrape_likely,329.6,Huha Underwear,hu-ha.com,Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Lingerie|Womenswear,100.00,0.23,0,no,no,US,https://hu-ha.com/,https://hu-ha.com/products/black-triangle-bra | https://hu-ha.com/products/black-string-bra | https://hu-ha.com/products/black-tata-bralette,no,no,no,no,home_ok,,102461,230.0
request_to_join_p1_scrape_likely,327.1,Cosabella (US),cosabella.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Lingerie|Womenswear,55.75,0.55,51.2786,no,no,US,https://cosabella.com/,https://cosabella.com/products/savona-reggiseno-a-fascia-lucia-linaria-it | https://cosabella.com/products/savona-perizoma-a-vita-media-lucia-linaria-it | https://cosabella.com/products/savona-tanga-mit-mittlerem-bund-lucia-linaria-de,no,no,no,no,home_ok,,123662,230.0
request_to_join_p1_scrape_likely,322.4,Shebird,shebirdshop.com,Okendo,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing,100.00,0.37,81.2491,yes,yes,US,https://www.shebirdshop.com,https://www.shebirdshop.com/products/tear-drop-bra-pad | https://www.shebirdshop.com/products/the-alia-knit-bra-top | https://www.shebirdshop.com/products/the-savannah-strappy-dress,no,no,no,no,home_ok,,95059,195.0
request_to_join_p1_scrape_likely,320.5,Snag Tights US,snagtights.us,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Womenswear,76.72,0.01,0,no,no,US,https://snagtights.us/,https://snagtights.us/products/mixed-denier-tights-moonlit-black | https://snagtights.us/products/activewear-tee-debbie-black | https://snagtights.us/products/swimwear-the-need-for-speed-top,no,no,no,no,home_ok,,118621,230.0
maybe_join_manual_review_probe,313.4,Torrid (US & Canada),torrid.com,unknown,unknown,yes,full_bust_lingerie;plus_curve;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Womenswear,34.21,0.08,16.2019,yes,no,US,https://www.torrid.com/,,no,no,no,no,http_302;http_410,,20059,290.0
request_to_join_p1_scrape_likely,305.0,SOL SWIM,shopsolswim.com,Judge.me,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing|Clothing Accessories|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://www.shopsolswim.com/,https://www.shopsolswim.com/products/florencia-cherish-bottom | https://www.shopsolswim.com/products/lupita-underwire-cherish-top | https://www.shopsolswim.com/products/delfina-white-one-piece-swimsuit,no,no,no,no,home_ok,,118467,230.0
skip_existing_or_refresh_only,305.0,FIND ME NOW (US),findmenowthelabel.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Womenswear,0.00,0.00,0,no,no,US,https://findmenowthelabel.com/,https://findmenowthelabel.com/products/flutter-top-skirt-1 | https://findmenowthelabel.com/products/nara-tube-top-butter-dot | https://findmenowthelabel.com/products/fabio-voile-jacket-in-lilac,yes,yes,no,yes,home_ok,,120073,230.0
request_to_join_p1_scrape_likely,305.0,Boux Avenue US,bouxavenue.com,Bazaarvoice,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Lingerie|Womenswear,0.00,0.00,0,no,no,US,https://www.bouxavenue.com/us,,no,no,no,no,home_ok,,67052,230.0
request_to_join_p1_scrape_likely,302.6,Meira Active,meiraactive.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Clothing,100.00,0.13,0,no,yes,US,https://meiraactive.com,https://meiraactive.com/products/activewear-zip-tank-top | https://meiraactive.com/products/smooth-duo®-pocket-legging-2-0 | https://meiraactive.com/products/double-trouble-built-in-thong-bike-shorts-bundle,no,no,no,no,home_ok,,95495,195.0
request_to_join_p1_scrape_likely,302.0,UNTUCKit (US),untuckit.com,Yotpo;Bazaarvoice,yes,yes,bottoms_denim_active;plus_curve;general_womenswear,Menswear,Clothing|Menswear|Womenswear,91.97,0.68,66.5746,yes,no,US,https://www.untuckit.com/,https://www.untuckit.com/products/day-performance-polo-green-milieu | https://www.untuckit.com/products/performance-hat-1 | https://www.untuckit.com/products/no-show-sock-real-teal,no,no,no,no,home_ok,,52525,180.0
maybe_join_manual_review_probe,300.0,Yours Clothing US,yoursclothing.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;plus_curve;general_womenswear,Womenswear,Childrenswear|Clothing Accessories|Jewellery|Lingerie|Shoes|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://www.yoursclothing.com/,,no,no,no,no,http_403;http_403,,46979,300.0
request_to_join_p1_scrape_likely,298.2,Runderwear US,runderwear.com,Shopify Product Reviews,yes,yes,full_bust_lingerie;bottoms_denim_active,Sportswear,Clothing|Sportswear,100.00,0.16,52.6798,no,no,US,https://runderwear.com/,https://runderwear.com/products/balance-sports-bra | https://runderwear.com/products/mens-ultra-light-running-shorts | https://runderwear.com/products/womens-ultra-light-running-shorts | https://runderwear.com/products/mens-running-briefs-grey-multibuy-x3 | https://runderwear.com/products/power-zest-running-bra,no,no,no,no,http_200;products_json_8,,124076,200.0
request_to_join_p1_scrape_likely,295.2,Urbody Functional Fashion,urbody.co,Okendo;Loox;Yotpo,yes,yes,full_bust_lingerie;bottoms_denim_active,Clothing,Clothing,100.00,0.01,52.1503,yes,yes,US,https://www.urbody.co,https://urbody.co/products/racerback-cotton-compression-sports-top | https://urbody.co/products/half-tank-modal-compression-top | https://urbody.co/products/modal-scoop-bralette | https://urbody.co/products/modal-boxer-brief | https://urbody.co/products/modal-tucking-bikini-brief,no,no,no,no,http_200;products_json_8,,96695,175.0
request_to_join_p1_scrape_likely,292.8,Memoi,memoi.com,Bazaarvoice,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Lingerie|Menswear|Womenswear,99.15,1.15,61.3975,yes,yes,US,https://memoi.com,https://memoi.com/products/summer-checkered-beach-towel | https://memoi.com/products/les-plumes-knee-high | https://memoi.com/products/black-bear-cotton-compression-socks,no,no,no,no,home_ok,,92625,150.0
request_to_join_p1_scrape_likely,292.2,AVIANAYA LLC DBA Journelle,journelle.com,Judge.me,yes,yes,full_bust_lingerie,Lingerie,Clothing|Lingerie,67.07,0.19,53.3796,yes,yes,US,https://journelle.com,https://www.journelle.com/products/cos-amore9431-black-moon-ivory | https://www.journelle.com/products/jou-6114-05-ciel | https://www.journelle.com/products/jou-6114-02-ivory,no,no,no,no,home_ok,,35237,175.0
request_to_join_p1_scrape_likely,275.6,Beldrie,beldrie.com,Yotpo,yes,yes,bottoms_denim_active;dresses_formal;general_womenswear,Sportswear,Sportswear|Womenswear,100.00,0.03,61.959,no,no,US,https://beldrie.com/,https://beldrie.com/products/free-returns-package-protection | https://beldrie.com/products/shorts | https://beldrie.com/products/collared-dress | https://beldrie.com/products/mock-dress | https://beldrie.com/products/slit-skort,no,no,no,no,http_200;products_json_8,,119563,180.0
request_to_join_p1_scrape_likely,275.0,Moodytiger (US),moodytiger.com,Judge.me,yes,yes,bottoms_denim_active;general_womenswear,Childrenswear,Childrenswear|Clothing|Clothing Accessories|Menswear|Sportswear|Womenswear,100.00,1.34,69.7165,no,yes,US,https://moodytiger.com,https://moodytiger.com/products/breathable-kids-leggings-breezy | https://moodytiger.com/products/kids-short-sleeve-tee-fairy | https://moodytiger.com/products/kids-printed-skirt-fairy,no,no,no,no,home_ok,,114120,145.0
request_to_join_p1_scrape_likely,275.0,ucalingerie.com,ucalingerie.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing,100.00,1.47,61.8132,yes,yes,US,https://ucalingerie.com,https://ucalingerie.com/products/lina-pink-floral-lace-underwired-plunge-long-bra | https://ucalingerie.com/products/lina-plus-pink-floral-lace-underwired-plunge-long-bra | https://ucalingerie.com/products/cindy-lace-push-up-underwired-molded-cup-demi-long-bra,no,no,no,no,home_ok,,114956,130.0
request_to_join_p1_scrape_likely,274.0,Kinkly,kinkly.com,Judge.me,yes,yes,full_bust_lingerie,Erotic,Erotic|Lingerie|Toys & Games,82.05,0.38,71.6282,no,no,US,https://kinkly.com/,,no,no,no,no,home_ok,,115941,175.0
request_to_join_p1_scrape_likely,270.8,Le Col US,lecol.cc,Yotpo;Bazaarvoice,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Clothing Accessories|Gifts & Flowers|Menswear|Sports Equipment|Sportswear|Womenswear,100.00,0.29,48.4211,yes,yes,US,https://lecol.cc/,https://lecol.cc/products/lc__cc-womens-pro-air-jersey-dawn-to-dusk | https://lecol.cc/products/lc__cc-pro-air-jersey-dawn-to-dusk | https://lecol.cc/products/lc__cc-womens-pro-aero-jersey,no,no,no,no,home_ok,,24543,145.0
request_to_join_p1_scrape_likely,270.4,Scarlett Gasque (US),scarlettgasque.com,Okendo,yes,yes,full_bust_lingerie,Lingerie,Clothing|Clothing Accessories|Lingerie,100.00,0.02,0,no,no,US,https://www.scarlettgasque.com/,https://www.scarlettgasque.com/products/arcadia-corset-floral | https://www.scarlettgasque.com/products/sonnet-scrunchie | https://www.scarlettgasque.com/products/isla-crochet-mini-dress,no,no,no,no,home_ok,,67752,175.0
request_to_join_p1_scrape_likely,270.0,Johanna Ortiz,johannaortiz.com,Okendo;Loox;Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Clothing Accessories|Jewellery|Lingerie|Womenswear,100.00,6.81,66.7986,no,no,US,https://www.johannaortiz.com/,https://johannaortiz.com/products/salty-promises-shirt-in-navy | https://johannaortiz.com/products/cabalgando-shirt-in-green | https://johannaortiz.com/products/jump-for-joy-necklace-in-ecru-lbm | https://johannaortiz.com/products/soul-of-the-river-necklace-in-gold | https://johannaortiz.com/products/sunlit-gaucho-dream-necklace-in-gold,no,no,no,no,http_200;products_json_8,,123418,150.0
request_to_join_p1_scrape_likely,267.3,Gonex LLC,gonexsport.com,Loox,yes,yes,bottoms_denim_active;general_womenswear,Tourism & Attractions,Clothing|Clothing Accessories|Gadgets|Home & Garden|Menswear|Sports Equipment|Sportswear|Womenswear|Tourism & Attractions,75.70,0.36,73.6833,yes,yes,US,https://www.gonexsport.com/collections/packing-cubes,https://gonexsport.com/products/gonex-waterproof-duffle-bag-for-kayaking-camping-travel | https://gonexsport.com/products/gonex-40-can-insulated-cooler-backpack | https://gonexsport.com/products/gonex-60l-expandable-canvas-duffle-bag-with-wet-dry-separation-pocket | https://gonexsport.com/products/gonex-swift-y-lightweight-camping-chair | https://gonexsport.com/products/gonex-20-000-btu-portable-double-burner-camping-stove,no,no,no,no,http_200;products_json_6,,64540,145.0
request_to_join_p1_scrape_likely,265.0,Hunkemoller US,hunkemoller.com,Yotpo,yes,yes,full_bust_lingerie,Lingerie,Lingerie,0.00,0.00,0,yes,no,US,https://www.hunkemoller.com,,no,no,no,no,http_200;products_json_invalid,,26657,175.0
request_to_join_p1_scrape_likely,265.0,Dos Gardenias (US),dosgardenias.com,Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,100.00,4.44,75.7716,no,no,US,https://www.dosgardenias.com/,https://dosgardenias.com/products/bobbi-bottom-ss26 | https://dosgardenias.com/products/peony-bottom-ss26 | https://dosgardenias.com/products/blossom-bottom-ss26 | https://dosgardenias.com/products/dahlia-top-ss26,no,no,no,no,http_200;products_json_4,,118141,145.0
request_to_join_p1_scrape_likely,262.6,CURVEEZ,curveez.com,Judge.me,yes,yes,full_bust_lingerie;swim_shapewear;general_womenswear,Health & Beauty,Clothing|Health & Beauty,73.81,0.64,75.9563,yes,yes,US,https://curveez.com?utm_source=share-a-sale&utm_medium=affiliate&utm_campaign=text-general,https://curveez.com/products/barely-there-layering-leggings-collective | https://curveez.com/products/shape-flow-set-firm-control-cami-bodysuit | https://curveez.com/products/essential-set-cami-control-bodysuit,no,no,no,no,home_ok,,91375,135.0
request_to_join_p1_scrape_likely,261.8,Lusomé,lusome.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Health & Beauty|Home & Garden|Lingerie|Womenswear,100.00,0.34,84.9327,no,yes,US,https://lusome.com/,https://lusome.com/products/erin-nightgown-extended-sizing | https://lusome.com/products/sarah-tee-copy | https://lusome.com/products/donna-pant-extended-sizing,no,no,no,no,home_ok,,96573,150.0
request_to_join_p1_scrape_likely,260.4,Waistdear,waistdear.com,Stamped;Yotpo,yes,yes,swim_shapewear;bottoms_denim_active,Clothing,Clothing,100.00,0.27,60.1418,no,yes,US,https://www.waistdear.com/pages/rewards,https://www.waistdear.com/products/wholesale-adjustable-strap-one-piece-swimsuit-built-in-bra-tummy-control-ruched-front-slim-fit-swimwear | https://www.waistdear.com/products/wholesale-minimizing-bra-full-coverage-unlined-lace-mesh-side-support-underwire-smooth-back/ | https://www.waistdear.com/products/wholesale-full-coverage-underwire-bra-memory-foam-cup-side-support-wide-strap,no,no,no,no,home_ok,,33273,150.0
request_to_join_p1_scrape_likely,259.2,Hot Octopuss,hotoctopuss.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Erotic,Erotic|Health & Beauty|Lingerie|Menswear|Womenswear,48.92,0.47,39.4675,yes,no,US,https://hotoctopuss.com/,https://www.hotoctopuss.com/products/rose-trim-watch-remote_enhanced-pulse-duo | https://www.hotoctopuss.com/products/melted-dreams-massage-candles | https://www.hotoctopuss.com/products/jesse-clitoral-suction-vibrator,no,no,no,no,home_ok,,58479,150.0
skip_existing_or_refresh_only,259.1,Net Positive,wearnetpositive.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Health & Beauty|Lingerie|Womenswear,76.73,0.94,61.851,no,no,US,https://wearnetpositive.com/,https://wearnetpositive.com/products/thong-black | https://wearnetpositive.com/products/thong-mocha | https://wearnetpositive.com/products/organic-cotton-triangle-bra-pink,yes,yes,no,yes,home_ok,,117847,150.0
request_to_join_p1_scrape_likely,258.6,WALLIEN,wallien.com,Reviews.io,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Sports Equipment|Sportswear|Womenswear,100.00,0.18,61.8677,yes,no,NL,https://www.wallien.com/,https://www.wallien.com/products/wrap-skirt-blue-white | https://www.wallien.com/products/wrap-skirt-brown-white | https://www.wallien.com/products/sports-dress-purple,no,no,no,no,home_ok,,83739,145.0
request_to_join_p1_scrape_likely,256.0,YIZHI FASHION HK LIMITED,bit.ly,Okendo,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,75.91,0.54,41.868,no,yes,US,https://bit.ly/3N4fU94,https://en.moco.com/products/pinstripe-halterneck-linen-vest-mbf2wai005 | https://en.moco.com/products/v-neck-strap-silk-tank-top-mbf2vet007 | https://en.moco.com/products/cropped-sleeveless-denim-top-mbf2top054,no,no,no,no,home_ok,,96909,145.0
request_to_join_p1_scrape_likely,255.6,Dippin Daisys (US),dippindaisys.com,Judge.me,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,100.00,0.28,66.8363,no,yes,US,https://dippindaisys.com,https://dippindaisys.com/products/club-ibiza-hat-ibiza | https://dippindaisys.com/products/bellini-stripe-underwire-super-cheeky-set | https://dippindaisys.com/products/seashell-bandeau-cheeky-set,no,no,no,no,home_ok,,75734,145.0
request_to_join_p1_scrape_likely,255.6,Sweat and Milk,sweatandmilk.com,Judge.me,yes,yes,maternity_postpartum;bottoms_denim_active,Clothing,Clothing,78.92,0.49,47.691,no,yes,US,https://www.sweatandmilk.com,https://sweatandmilk.com/products/chloe-4-2-pack-special | https://sweatandmilk.com/products/velea-phone-pouch | https://sweatandmilk.com/products/ultra-high-rise-postpartum-compression-biker-short-7-chambray-blue,no,no,no,no,home_ok,,93617,145.0
skip_existing_or_refresh_only,255.1,EverLeakProof US,everleakproof.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Health & Beauty|Lingerie|Womenswear,85.71,0.65,65.1189,no,no,US,https://everleakproof.com,https://everleakproof.com/products/priority-processing | https://everleakproof.com/products/nude-rise-leakproof-underwear | https://everleakproof.com/products/black-pearl-leakproof-underwear-5-pack,yes,yes,no,yes,home_ok,,121298,150.0
maybe_join_manual_review_probe,255.0,SHEIN US,us.shein.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Jewellery|Lingerie|Menswear|Shoes|Sportswear|Womenswear,0.00,0.00,0,yes,no,US,https://us.shein.com/,,no,no,no,no,http_403;http_403,,15920,240.0
request_to_join_p1_scrape_likely,255.0,Line in the Sand,lineinthesand.com,Judge.me,yes,yes,swim_shapewear;bottoms_denim_active;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.lineinthesand.com,https://www.lineinthesand.com/products/coastal-packable-sun-hat | https://www.lineinthesand.com/products/boyshort-long-sleeve-swimsuit | https://www.lineinthesand.com/products/long-sleeve-swimsuit,no,no,no,no,home_ok,,83815,170.0
request_to_join_p1_scrape_likely,255.0,LDMA,ldmabrand.com,Okendo,yes,yes,full_bust_lingerie,Clothing,Clothing,100.00,1.27,55.947,yes,yes,US,https://www.ldmabrand.com,https://ldmabrand.com/products/heritage-sport-shorts-laguna-blue | https://ldmabrand.com/products/all-day-straight-leg-sweats-laguna-blue | https://ldmabrand.com/products/all-day-joggers-laguna-blue,no,no,no,no,home_ok,,95839,110.0
request_to_join_p1_scrape_likely,253.8,Merino Tech,merino.tech,Judge.me;Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Clothing,Clothing|Menswear|Shoes|Sportswear|Womenswear,100.00,0.69,71.5691,no,no,US,https://merino.tech/,https://merino.tech/products/merino-wool-hiking-socks-pack-of-3-army-green-sca_clone_freegift | https://merino.tech/products/mens-merino-pants-200-grey-melange | https://merino.tech/products/mens-merino-pants-200-windsor-blue | https://merino.tech/products/mens-merino-pants-200-deep-teal | https://merino.tech/products/mens-merino-pants-200-charcoal,no,no,no,no,http_200;products_json_6,,120417,145.0
request_to_join_p1_scrape_likely,250.9,IMS Shop (US),shop.ims.com,Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Clothing,Childrenswear|Clothing|Clothing Accessories|Menswear|Sportswear|Womenswear,94.44,0.60,0,no,no,US,https://shop.ims.com/,https://shop.ims.com/products/ims9mh0044-indy-500-checkered-stripe-hat | https://shop.ims.com/products/ims1cl2602-2026-indy-500-winner-felix-rosenqvist-framed-piece | https://shop.ims.com/products/ims2dy2609-2026-chase-elliott-napa-1-64 | https://shop.ims.com/products/ims2dy2624-2026-william-byron-liberty-university-1-64 | https://shop.ims.com/products/ims2dy2503-2025-brickyard-400-winner-1-64-bubba-wallace,no,no,no,no,http_200;products_json_6,,80783,145.0
request_to_join_p1_scrape_likely,250.0,Devon and Lang,devonandlang.com,Judge.me,yes,yes,full_bust_lingerie,Lingerie,Clothing|Lingerie,0.00,0.00,,no,no,US,https://devonandlang.com/,https://devonandlang.com/products/journey-boxer-brief-multi-packs-fan-faves | https://devonandlang.com/products/journey-boxer-brief-multi-packs-spring-refresh | https://devonandlang.com/products/journey-boxer-brief-moon-bunny-copy,no,no,no,no,home_ok,,126925,175.0
request_to_join_p1_scrape_likely,250.0,Berkley Clothing,berkleyclothing.com,Yotpo,yes,yes,maternity_postpartum;bottoms_denim_active;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://berkleyclothing.com,https://berkleyclothing.com/products/donna-short-sleeve-tshirt-solid-white | https://berkleyclothing.com/products/donna-short-sleeve-tshirt-solid-black | https://berkleyclothing.com/products/donna-short-sleeve-tshirt-herringbone-black,no,no,no,no,home_ok,,95653,165.0
request_to_join_p1_scrape_likely,248.6,WOLACO (US),wolaco.com,Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Menswear|Sports Equipment|Sportswear|Womenswear,82.78,0.10,41.7153,no,yes,US,https://www.wolaco.com/,https://www.wolaco.com/products/womens-core-tank-in-steel-green | https://www.wolaco.com/products/womens-core-tank-in-black-w-chrome | https://www.wolaco.com/products/womens-sprint-half-tight-in-hudson-grey-w-chrome,no,no,no,no,home_ok,,22475,145.0
