priority,merchant_group,merchant_group_id,primary_domains,triage_bucket,reason,pricing,source_rows,review_photo_check,avg_conversion_rate_examples,avg_commission_rate_examples,avg_order_value_examples,calibration_batch_order,category_evidence_url,sample_pdp_urls,size_importance,size_basis,reviews_present,photo_reviews,review_provider,review_photo_evidence,ships_to_country_codes,shipping_geo_status,shipping_geo_evidence_url,shipping_geo_evidence_basis,primary_market_country,product_url_geo_inheritance,scrape_feasibility,anti_bot_or_login_notes,next_action,checked_at
P1,AliExpress,55746,aliexpress.com; aliexpress.us,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,US,market_specific_url,https://aliexpress.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.079Z
P1,Amazon,185,amazon.com; amazon.co.uk; amazon.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,CA|GB|US,known_country_list,https://amazon.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,eBay,3908,ebay.com; ebay.co.uk; ebay.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,CA|GB|US,known_country_list,https://ebay.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,Etsy,46131,etsy.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,US,market_specific_url,https://etsy.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,Target,390,target.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,US,market_specific_url,https://target.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,Temu,205410,temu.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,US,market_specific_url,https://temu.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,Walmart,384,walmart.com; walmart.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,unknown,Broad marketplace requires category-level apparel/PDP verification.,unknown,unknown,category_level_not_checked,,CA|US,known_country_list,https://walmart.com,storefront_locale,US,merchant_level_ok,marketplace_requires_category_level_review,,manual_marketplace_category_selection,2026-05-27T14:50:40.081Z
P1,Abercrombie & Fitch,39415,abercrombie.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,6.65%,15.0%,$129.86,,,,yes,homepage exposes size or fit language,unknown,unknown,unknown,,US,market_specific_url,https://abercrombie.com,storefront_locale,US,merchant_level_ok,blocked_or_needs_manual_review,possible_block_or_challenge at https://www.abercrombie.com/shop/us,merchant_specific_manual_review,2026-05-27T14:45:43.587Z
P1,adidas,491,adidas.ae; adidas.at; adidas.be; adidas.ca; adidas.cl,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,2.57%,3.77%,$87.26,,,,unknown,,unknown,unknown,unknown,,AE|CA,known_country_list,https://adidas.ae,storefront_locale,AE,merchant_level_ok,blocked_or_needs_manual_review,http_403 at https://www.adidas.ae/,merchant_specific_manual_review,2026-05-27T14:45:43.589Z
P1,Alo Yoga,122245,aloyoga.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,4.56%,9.69%,$207.97,1,https://www.aloyoga.com/collections/womens-sweatshirts-hoodies,,unknown,,unknown,unknown,,,US,market_specific_url,https://www.aloyoga.com/pages/orders-and-shipping-support,shipping_policy,US,merchant_level_ok,blocked_or_needs_manual_review,possible_block_or_challenge at https://www.aloyoga.com/,merchant_specific_manual_review,2026-05-27T14:45:43.589Z
